actual,pred_lr,pred_lstm
3360.221435546875,3352.7093973980627,3385.6335
3397.654296875,3371.7652753672946,3380.915
3438.36376953125,3406.3507805892827,3389.5322
3447.300048828125,3449.64021376594,3411.571
3409.8669433593745,3457.3293074448447,3432.917
3421.28564453125,3416.236048014575,3439.2964
3471.527099609375,3426.4196520238074,3442.7473
3490.3925781249995,3477.306446920484,3456.0103
3426.9450683593755,3501.36078626412,3472.1555
3399.7395019531245,3434.06944319341,3468.5151
3411.3564453124995,3402.819841675221,3455.9756
3369.554931640625,3412.78645105139,3445.6448
3366.37744140625,3377.2149780585396,3425.0881
3420.3920898437495,3375.714210799699,3407.716
3417.413330078125,3426.465490579585,3412.4705
3416.718505859375,3427.7772873483495,3420.1433
3437.4702148437505,3427.948465202344,3426.4192
3405.399169921875,3441.996662187421,3438.1794
3399.04443359375,3411.642726434747,3438.365
3376.703857421875,3407.0134541343014,3432.2688
3395.5693359375,3379.657799168286,3420.9749
3387.526611328125,3404.936713020636,3416.3718
3382.0654296875,3393.8947468440088,3411.3728
3359.82421875,3392.032093648275,3408.1975
3358.036865234375,3364.9961925891307,3400.15
3242.85888671875,3365.671497599705,3393.3167
3199.8654785156245,3245.63627447193,3357.1982
3229.256103515625,3207.1050706980477,3314.187
3221.08642578125,3231.8321471701643,3286.8792
3197.275146484375,3235.3498016157855,3268.4316
3178.046875,3211.515274333904,3251.7493
3146.464599609375,3185.567549461034,3240.3142
3147.8596191406255,3154.9930302892367,3224.725
3167.2871093750005,3159.0564080008453,3210.071
3136.302734375,3178.6592561897814,3204.5415
3124.14794921875,3149.1396710537333,3196.3728
3067.85791015625,3136.4900202688887,3187.6074
3044.6445312500005,3074.5228134274544,3168.4407
3042.25341796875,3056.749480608232,3145.2021
3025.515869140625,3051.8908100399576,3124.7139
2991.84130859375,3040.1595166196826,3107.719
3062.97607421875,3005.511501827833,3088.523
3052.51513671875,3078.2566730150215,3091.2322
3021.032470703125,3065.6379409484,3096.371
3035.677978515625,3040.50625560269,3094.5554
3025.1171875,3044.764084535908,3095.3862
3029.5009765625,3037.236168091974,3094.8245
3024.120849609375,3046.388369517901,3091.13
3024.9179687500005,3036.409594579721,3088.3694
3011.06982421875,3039.8524887688354,3087.9265
3000.010986328125,3024.036260824887,3083.7957
3004.992431640625,3014.0060450984415,3078.0454
3087.0861816406245,3018.364660415496,3073.733
3091.071533203125,3104.476435943076,3089.0125
3042.65185546875,3107.066889446589,3106.996
3128.93017578125,3059.775050858568,3112.3787
3145.468505859375,3140.1931761231986,3132.8137
3082.204345703125,3156.4253504658227,3154.649
3073.23779296875,3101.5071321753076,3154.264
3101.0341796875,3080.8276754795015,3148.245
3099.938232421875,3109.378468305145,3149.5845
3085.990234375,3116.2326689922925,3147.0122
3084.197021484375,3100.8114306748357,3142.5981
3036.97314453125,3095.1405686153394,3141.7283
3007.781982421875,3047.3424140947413,3130.0505
3038.06884765625,3020.223863897861,3110.4453
3098.44384765625,3049.4433823476,3100.344
3112.591064453125,3115.6345797571803,3108.8162
3121.7568359375,3131.166039314632,3123.895
3100.336669921875,3137.675209059452,3142.4592
3134.01123046875,3109.7496662571402,3152.9636
3161.010498046875,3147.3148070491716,3164.2256
3164.89599609375,3172.7528249980974,3176.6777
3157.4238281250005,3181.049102749187,3188.3032
3062.3784179687505,3168.9265215267783,3195.4636
3051.0205078125,3069.362517045251,3178.4714
3024.120849609375,3061.100137576198,3154.917
2946.41064453125,3029.9114873378085,3127.6677
2888.32763671875,2961.7933348927045,3089.28
2885.338623046875,2898.657347233939,3045.6597
2877.6672363281245,2896.186410735157,3013.819
2903.371337890625,2894.034047389771,2988.9465
2891.1169433593755,2923.899259903828,2978.1973
2977.295654296875,2907.113526879631,2974.7634
2962.650146484375,2998.8306894255597,2993.1047
3015.951416015625,2976.6430295600553,3009.46
3050.3232421875,3039.7716027208035,3033.8394
3017.0473632812495,3060.945080730202,3060.9253
2996.02587890625,3035.1014332820546,3076.5654
2949.3000488281255,3008.2503398407653,3076.784
2969.8000488281245,2957.339659049293,3064.5977
2970.699951171875,2985.2235451390966,3053.0767
2962.1999511718745,2983.9938984943196,3043.7922
3015.199951171875,2981.172772242034,3038.1284
3006.699951171875,3030.9422220226857,3046.599
3073.1999511718745,3021.182662220073,3056.8428
3063.1999511718745,3094.16008643791,3078.2275
3084.89990234375,3073.9192098451554,3095.961
3057.89990234375,3104.262808285457,3114.2717
